npm warn deprecated whatwg-encoding@2.0.0: Use @exodus/bytes instead for a more spec-conformant and faster implementation
Starting up http-server, serving ./

http-server version: 14.1.1

http-server settings: 
CORS: disabled
Cache: -1 seconds
Connection Timeout: 120 seconds
Directory Listings: visible
AutoIndex: visible
Serve GZIP Files: false
Serve Brotli Files: false
Default File Extension: none

Available on:
  http://192.168.1.218:8765
  http://127.0.0.1:8765
Hit CTRL-C to stop the server

[2026-05-25T20:59:20.248Z]  "GET /" "curl/8.7.1"
[2026-05-25T20:59:20.523Z]  "GET /styles.css" "curl/8.7.1"
[2026-05-25T20:59:20.807Z]  "GET /js/main.js" "curl/8.7.1"
[2026-05-25T20:59:21.087Z]  "GET /js/sections/time-machine.js" "curl/8.7.1"
[2026-05-25T20:59:21.356Z]  "GET /data/county_data.csv" "curl/8.7.1"
[2026-05-25T21:05:04.665Z]  "GET /" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-25T21:05:04.675Z]  "GET /styles.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-25T21:05:04.676Z]  "GET /js/main.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-25T21:05:05.035Z]  "GET /js/utils.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-25T21:05:05.036Z]  "GET /js/sections/intro-map.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-25T21:05:05.037Z]  "GET /js/sections/reveal.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-25T21:05:05.039Z]  "GET /js/sections/time-machine.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-25T21:05:05.040Z]  "GET /js/sections/radial.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-25T21:05:05.040Z]  "GET /js/sections/scatter.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-25T21:05:05.042Z]  "GET /js/sections/day-night.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-25T21:05:05.052Z]  "GET /data/state_data.csv" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-25T21:05:05.052Z]  "GET /data/county_data.csv" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-25T21:05:05.780Z]  "GET /favicon.ico" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-25T21:05:05.781Z]  "GET /favicon.ico" Error (404): "Not found"
[2026-05-25T21:05:25.153Z]  "GET /" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
